# Ridge Phase 4 ground-truth measurements
# gpu,NVIDIA A100-SXM4-40GB
# sms,108
# nominal_clock_mhz,1410
# sweep,data/sweep/phase4-registered.csv
# warmup_seconds,5
# canary_start_tflops,239.606
# NOTE clocks must be locked (nvidia-smi -lgc 1410,1410), see PLAN.md Finding 9
M,N,K,tag,BM,BN,BK,WM,WN,stages,groupM,regsPerThread,smemBytes,threads,tflops,cublas_tflops,fraction_of_cublas,canary_tflops
2048,8192,1024,wide-n,64,64,64,32,32,4,8,91,73728,128,93.6268,210.188,0.445443,236.551
2048,8192,1024,wide-n,256,128,64,64,64,3,8,248,162816,256,138.8,210.188,0.660358,236.551
2048,8192,1024,wide-n,128,128,32,64,32,3,8,124,67584,256,141.553,210.188,0.673459,236.551
2048,8192,1024,wide-n,128,128,32,64,32,4,8,124,75776,256,140.734,210.188,0.669561,236.551
2048,8192,1024,wide-n,128,128,32,64,32,5,8,124,94720,256,109.963,210.188,0.523165,238.368
2048,8192,1024,wide-n,128,128,32,32,64,4,8,127,75776,256,136.177,210.188,0.647883,238.368
2048,8192,1024,wide-n,128,128,32,32,32,4,8,95,75776,512,99.9603,210.188,0.475576,238.368
2048,8192,1024,wide-n,256,128,32,64,32,3,8,125,135168,512,122.119,210.188,0.581,238.368
2048,8192,1024,wide-n,128,256,32,64,32,3,8,125,133120,512,124.273,210.188,0.591248,238.368
2048,8192,1024,wide-n,128,128,32,64,64,4,1,225,75776,128,150.165,210.188,0.714433,238.368
2048,8192,1024,wide-n,128,128,32,64,64,4,2,225,75776,128,147.432,210.188,0.701429,238.368
2048,8192,1024,wide-n,128,128,32,64,64,4,4,225,75776,128,147.884,210.188,0.703578,238.368
2048,8192,1024,wide-n,128,128,32,64,64,4,16,225,75776,128,148.841,210.188,0.708134,238.368
2048,8192,1024,wide-n,128,128,32,64,64,4,32,225,75776,128,149.782,210.188,0.712607,238.368
2048,8192,1024,wide-n,256,128,64,64,64,3,4,248,162816,256,138.138,210.188,0.657212,238.368
2048,8192,1024,wide-n,256,128,64,64,64,3,16,248,162816,256,140.197,210.188,0.667008,238.368
# canary_end_tflops,235.693
# canary_min_tflops,235.693
# canary_max_tflops,241.566
# canary_drift_fraction,0.0243124
